tweet,label
!!! RT : As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,not profane
!!!!! RT : boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,profane
!!!!!!! RT Dawg!!!! RT : You ever fuck a bitch and she start to cry? You be confused as shit,profane
!!!!!!!!! RT : she look like a tranny,profane
!!!!!!!!!!!!! RT : The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,profane
"!!!!!!!!!!!!!!!!!!"": The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",profane
"!!!!!!"": I can not just sit up and HATE on another bitch .. I got too much shit going on!""",profane
!!!!&#8220;: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,profane
""" &amp; you might not get ya bitch back &amp; thats that """,profane
""" :hobbies include: fighting Mariam"" bitch",profane
""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",profane
""" Murda Gang bitch its Gang Land """,profane
""" So hoes that smoke are losers ? "" yea ... go on IG",profane
""" bad bitches is the only thing that i like """,profane
""" bitch get up off me """,profane
""" bitch nigga miss me with it """,profane
""" bitch plz whatever """,profane
""" bitch who do you love """,profane
""" bitches get cut off everyday B """,profane
""" black bottle &amp; a bad bitch """,profane
""" broke bitch cant tell me nothing """,profane
""" cancel that bitch like Nino """,profane
""" cant you see these hoes wont change """,profane
""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",profane
""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",profane
""" her pussy lips like Heaven doors "" &#128524;",profane
""" hoe what its hitting for """,profane
""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",profane
""" i need a trippy bitch who fuck on Hennessy """,profane
""" i spend my money how i want bitch its my business """,profane
""" i txt my old bitch my new bitch pussy wetter """,profane
""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",profane
""" if you aint bout that Murder Game pussy nigga shut up """,profane
""" if you're toes ain't done you pussy stinks """,profane
""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,profane
""" is that ya bitch """,profane
""" it aint nothing to cut a bitch off """,profane
""" jus meet son now he ya mane ass bitches "" #Shots",profane
""" lames crying over hoes thats tears of a clown """,profane
""" like Snoop said in 94 we dont love these hoes """,profane
